Identifiant espace vert,Nom de l'espace vert,Typologie d'espace vert,Cat?gorie,Adresse - type voie,Adresse - Libell? voie,Code postal,Surface calcul?e,Superficie totale r?elle,Surface horticole,Pr?sence cloture,P?rim?tre,Nombre d'entit?s,Ouverture 24h_24h
11239,JARDINIERES DU COLLEGE GUSTAVE FLAUBERT,D?corations sur la voie publique,Jardiniere,AVENUE D',IVRY,75013,270,393,393,Non,97.48032577,2,
257,JARDIN MAURICE SICART,Jardinets d?coratifs,Jardinet,BOULEVARD,AUGUSTE BLANQUI,75013,907,942,853,Oui,202.0361498,2,Non
10375,DECORATION DE LA PLACE DES ALPES,D?corations sur la voie publique,Decoration,PLACE DES,ALPES,75013,227,200,200,Non,53.51961351,1,
11614,02-00,P?riph?rique,Talus,,,75013,172,,,Non,50.39371659,1,
11849,JARDIN PARTAGE DU SQUARE RENE LE GALL,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,EMILE DESLANDRES,75013,266,200,200,Oui,,1,Non
224,SQUARE ROBERT BAJAC,Promenades ouvertes,Square,BOULEVARD,KELLERMANN,75013,3618,3700,2173,Oui,269.6034833,1,Oui
10747,JARDIN BIOPARK,Promenades ouvertes,Jardin,RUE,WATT,75013,6984,2065,,Oui,694.5730982,1,Oui
10726,JARDINET DE LA PLACE DU DOCTEUR YERSIN,D?corations sur la voie publique,Jardinet,PLACE DU,DOCTEUR YERSIN,75013,1068,950,950,Non,133.4000487,1,
10773,DECORATION ANGLE DES RUES PRIMATICE - RUBENS,D?corations sur la voie publique,Decoration,RUE,RUBENS,75013,62,61,61,Non,50.04985045,2,
11113,JARDINIERES DE LA RUE FRANCOIS BLOCH-LAINE,D?corations sur la voie publique,Jardiniere,RUE,FRANCOIS BLOCH-LAINE,75013,176,116,116,Non,106.497997,3,
10707,JARDINIERES DE LA RUE DE L'AMIRAL MOUCHEZ(13EME),D?corations sur la voie publique,Jardiniere,RUE DE L',AMIRAL MOUCHEZ,75013,289,270,270,Non,206.3052821,5,
11715,JARDIN FRANCOISE MALLET-JORIS,Promenades ouvertes,Jardin,RUE,ALPHONSE BOUDARD,75013,2564,2500,,Non,235.5932566,1,Oui
11898,JARDINIERE VERTICALE DU 16 RUE FULTON,Murs v?g?talis?s,Murs vegetalises,RUE,FULTON,75013,3,,,Non,,0,
